1|Elko|Nevada|32|007|32007|17203.10702|45291|45881|2.6|37159|267|2400|306|52|3849|1258|8935|23596|21695|3842|10857|2342|4732|7315|7270|6257|2676|31.2|31.5|31.0|15638|2.85|2012|1261|5214|4052|590|918|11493|3.33|18456|2818|10937|4701|402|7103|237443|122.46
2|Humboldt|Nevada|32|013|32013|9658.26345|16106|15815|1.7|13401|82|647|92|11|1375|498|3040|8446|7660|1294|3768|701|1509|2566|2760|2295|1213|33.4|33.5|33.3|5733|2.77|804|501|1855|1562|176|315|4136|3.28|6954|1221|4179|1554|218|3364|172000|262.91
3|Washoe|Nevada|32|031|32031|6550.5002|339486|350762|51.8|272985|7093|6162|14526|1553|26034|11133|56301|172080|167406|23618|60862|19303|37609|53223|54450|54624|35797|35.6|35.0|36.2|132084|2.53|18390|17265|28762|34471|3804|8474|83752|3.09|143908|11824|78296|53788|285|2709|42453|79.01
4|Lander|Nevada|32|015|32015|5519.50678|5794|5579|1.0|4891|12|231|20|2|502|136|1073|2975|2819|433|1430|251|468|855|957|997|403|34.1|34.3|33.9|2093|2.73|288|178|636|614|74|121|1523|3.23|2780|687|1615|478|76|6395|31536|168.34
5|Eureka|Nevada|32|011|32011|4179.9865|1651|1607|0.4|1474|7|26|13|1|72|58|158|852|799|97|362|55|97|267|256|312|205|38.3|39.2|37.0|666|2.47|119|75|186|190|14|20|440|3.08|1025|359|491|175|84|2559|41125|156.34
6|Pershing|Nevada|32|027|32027|6067.67418|6693|6722|1.1|5200|358|229|42|15|628|221|1294|4107|2586|434|1285|323|765|1270|1071|1025|520|34.4|34.7|33.7|1962|2.69|266|211|569|553|77|108|1383|3.22|2389|427|1363|599|120|995|49813|272.33
7|White Pine|Nevada|32|033|32033|8896.71978|9181|9031|1.0|7928|380|302|72|22|284|193|1008|5164|4017|550|1670|349|952|1440|1454|1527|1239|37.7|36.9|39.1|3282|2.42|500|473|710|990|107|208|2161|3.01|4439|1157|2515|767|115|2152|34181|71.62
8|Churchill|Nevada|32|001|32001|5023.30175|23982|24365|4.8|20192|383|1146|649|54|773|785|2076|12027|11955|1920|5015|1129|2421|3461|3450|3721|2865|34.7|34.0|35.3|8912|2.64|989|1012|2419|2725|254|643|6465|3.09|9732|820|5866|3046|511|253|53933|74.48
9|Lyon|Nevada|32|019|32019|2016.4055|34501|36755|17.1|30576|225|844|210|47|1585|1014|3784|17467|17034|2255|7090|1410|2604|4890|5340|6169|4743|38.2|37.7|38.7|13007|2.61|1494|1294|3199|4403|408|712|9449|3.02|14279|1272|9857|3150|305|572|79374|175.92
10|Storey|Nevada|32|029|32029|263.89742|3399|3482|12.9|3161|10|49|34|5|57|83|174|1762|1637|150|519|98|169|449|696|872|446|44.5|44.6|44.5|1462|2.32|222|152|228|570|36|55|969|2.74|1596|134|1166|296|8|0|475|11.63
11|Carson City|Nevada|32|510|32510|155.70482|52457|53354|336.9|44744|946|1259|930|76|3391|1111|7466|27102|25355|3289|8982|2365|4973|7710|8238|9063|7837|38.7|37.6|40.1|20171|2.44|2513|3096|4088|5992|579|1348|13256|2.97|21283|1112|12724|7447|18|401|1339|11.02
12|Nye|Nevada|32|023|32023|18158.7175|32485|34537|1.8|29117|383|636|253|105|969|1022|2713|16650|15835|1937|5769|1100|1987|4056|4674|6978|5984|42.9|42.9|42.8|13309|2.42|1977|1443|2556|4937|344|614|9068|2.9|15934|2625|10167|3142|144|594|27813|193.0
13|Douglas|Nevada|32|005|32005|737.66061|41259|42543|55.9|37908|129|692|517|63|1048|902|3057|20840|20419|2126|7784|1402|2568|5512|7291|8319|6257|41.7|41.5|41.9|16401|2.5|1790|1606|3767|6163|394|870|11894|2.88|19006|2605|12183|4218|156|579|25835|56.38
14|Mineral|Nevada|32|021|32021|3813.00102|5071|4916|1.3|3747|242|779|41|5|136|121|428|2556|2515|267|970|196|338|560|728|1007|1005|42.9|42.3|43.4|2197|2.26|368|327|317|677|84|156|1380|2.78|2866|669|1593|604|37|0|10720|48.88
15|Lincoln|Nevada|32|017|32017|10637.38971|4165|4243|0.4|3811|74|73|14|1|112|80|221|2162|2003|262|993|163|263|450|557|804|673|38.8|37.2|40.5|1540|2.48|231|251|363|502|12|71|1011|3.15|2178|638|1156|384|121|404|17385|60.47
16|Esmeralda|Nevada|32|009|32009|3589.0443|971|945|0.3|796|1|50|0|2|74|48|99|537|434|42|157|40|65|108|147|245|167|45.1|44.3|46.1|455|2.12|106|58|69|142|8|19|260|2.79|833|378|305|150|20|1373|12219|200.82
17|Clark|Nevada|32|003|32003|8090.41524|1375765|1472443|170.0|984796|124885|10895|72547|6412|118465|57765|302143|699728|676037|103301|248469|68880|166807|229663|196926|214820|146899|34.4|33.9|35.0|512253|2.65|66504|58969|111134|138586|15138|36023|339693|3.17|559799|47546|302834|209419|209|338|9108|90.56
