SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"06036805","Firehole River at Old Faithful, YNP","ST","USGS",-110.82227220,44.45933330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06036805"
"06036905","Firehole River near West Yellowstone MT","ST","USGS",-110.86350280,44.62018330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06036905"
"06036940","Tantalus Creek at Norris Junction, YNP","ST","USGS",-110.71325280,44.73272500,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06036940"
"06037100","Gibbon River at Madison Jct, YNP","ST","USGS",-110.86106390,44.64080000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06037100"
"06037500","Madison River near West Yellowstone, MT","ST","USGS",-111.06796390,44.65707220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06037500"
"06043120","Gallatin River above Deer Creek, near Big Sky, MT","ST","USGS",-111.21139170,45.29727778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06043120"
"06043500","Gallatin River near Gallatin Gateway, MT","ST","USGS",-111.27070830,45.49730000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06043500"
"06186500","Yellowstone River at Yellowstone Lk Outlet YNP","ST","USGS",-110.38040560,44.56709167,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06186500"
"06187915","Soda Butte Cr at Park Bndry at Silver Gate","ST","USGS",-110.00187220,45.00283056,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06187915"
"06188000","Lamar River nr Tower Ranger Station YNP","ST","USGS",-110.39426940,44.92817778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06188000"
"06190540","Boiling River at Mammoth,YNP","ST","USGS",-110.68934440,44.98513330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06190540"
"06191000","Gardner River near Mammoth, YNP","ST","USGS",-110.69097500,44.99234440,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06191000"
"06191500","Yellowstone River at Corwin Springs MT","ST","USGS",-110.79366670,45.11211940,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06191500"
"06207500","Clarks Fork Yellowstone River nr Belfry MT","ST","USGS",-109.06536670,45.00991110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06207500"
"06218500","WIND RIVER NEAR DUBOIS, WY","ST","USGS",-109.75988350,43.57856415,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06218500"
