SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"10396000","DONNER UND BLITZEN RIVER NR FRENCHGLEN OR","ST","USGS",-118.86750000,42.79083330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10396000"
"11493500","WILLIAMSON RIVER NEAR KLAMATH AGENCY, OR","ST","USGS",-121.83446180,42.74013528,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11493500"
"11501000","SPRAGUE RIVER NEAR CHILOQUIN, OR","ST","USGS",-121.84833330,42.58430556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11501000"
"11502500","WILLIAMSON RIVER BLW SPRAGUE RIVER NR CHILOQUIN,OR","ST","USGS",-121.87971390,42.56437500,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11502500"
"11503000","ANNIE SPRING NEAR CRATER LAKE, OR","SP","USGS",-122.16891700,42.87151790,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11503000"
"11504115","WOOD RIVER NEAR KLAMATH AGENCY, OR","ST","USGS",-121.94170280,42.58155556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11504115"
"11507500","LINK RIVER AT KLAMATH FALLS, OR","ST","USGS",-121.79417080,42.22347795,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11507500"
"11509105","NORTH CANAL AT HIGHWAY 97, NEAR MIDLAND, OR","ST-CA","USGS",-121.83000330,42.12236820,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11509105"
"11509200","ADY CANAL AT HIGHWAY 97, NEAR WORDEN, OR","ST-CA","USGS",-121.84463890,42.08088889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11509200"
"11509250","ADY CANAL ABOVE LOWER KLAMATH NWR, NEAR WORDEN, OR","ST-CA","USGS",-121.82583330,42.00416667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11509250"
"11509340","KLAMATH STRAITS DRAIN NEAR WORDEN, OR","ST-CA","USGS",-121.84472530,42.07986876,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11509340"
"11509500","KLAMATH RIVER AT KENO, OR","ST","USGS",-121.96223130,42.13319946,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11509500"
"11510700","KLAMATH RIVER BLW JOHN C.BOYLE PWRPLNT, NR KENO,OR","ST","USGS",-122.07334530,42.08458770,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11510700"
"13181000","OWYHEE RIVER NR ROME OR","ST","USGS",-117.64916670,42.86638889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=13181000"
"13183000","OWYHEE RIVER BELOW OWYHEE DAM, OR","ST","USGS",-117.25583330,43.65444444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=13183000"
"13213100","SNAKE RIVER AT NYSSA OR","ST","USGS",-116.98250000,43.87611110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=13213100"
"13233300","MALHEUR RIVER BELOW NEVADA DAM NEAR VALE OR","ST","USGS",-117.21888890,43.98750000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=13233300"
"13325000","EAST FORK WALLOWA RIVER NEAR JOSEPH, OR","ST","USGS",-117.21132500,45.27110278,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=13325000"
"13331500","MINAM RIVER AT MINAM, OR","ST","USGS",-117.72658920,45.61986690,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=13331500"
