SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"01359525","NORMANS KILL AT KARLSFELD NY","ST","USGS",-73.84600000,42.64791667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01359525"
"01359528","NORMANS KILL AT ALBANY NY","ST","USGS",-73.80427778,42.63363889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01359528"
"01460378","D&R Ca feeder US of gate at Washington Crossing NJ","ST","USGS",-74.86666670,40.29638889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01460378"
"01460380","Del and Rar Ca feeder at Washington Crossing NJ","ST-CA","USGS",-74.86694440,40.29666667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01460380"
"01460415","Del and Rar fdr Ca at Perdicaris Pl at Trenton NJ","ST-CA","USGS",-74.77750000,40.22500000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01460415"
"01460440","Delaware and Raritan Canal at Port Mercer NJ","ST-CA","USGS",-74.68500000,40.30444444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01460440"
"01460500","Delaware and Raritan Canal at Kingston NJ","ST-CA","USGS",-74.61833330,40.37361110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01460500"
"01460595","Del & Rar Canal at Landing La at New Brunswick NJ","ST-CA","USGS",-74.46416670,40.50777778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01460595"
"02086624","KNAP OF REEDS CREEK NEAR BUTNER, NC","ST","USGS",-78.79833890,36.12792215,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02086624"
"02086834","ELLERBE CR 0.51 MILE BELOW SR1669 NEAR WEAVER, NC","ST","USGS",-78.86074720,36.03448056,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02086834"
"02086849","ELLERBE CREEK NEAR GORMAN, NC","ST","USGS",-78.83250650,36.05931106,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02086849"
"0208726005","CRABTREE CR AT EBENEZER CHURCH RD NR RALEIGH, NC","ST","USGS",-78.72444440,35.84527778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0208726005"
"02087275","CRABTREE CREEK AT HWY 70 AT RALEIGH, NC","ST","USGS",-78.67416670,35.83805556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02087275"
"0208731190","CRABTREE CREEK AT ANDERSON DRIVE AT RALEIGH, NC","ST","USGS",-78.63416670,35.82111110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0208731190"
"02087322","CRABTREE CR AT OLD WAKE FOREST RD AT RALEIGH, NC","ST","USGS",-78.62611110,35.81583330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02087322"
"0208732534","PIGEON HOUSE CR AT CAMERON VILLAGE AT RALEIGH, NC","ST","USGS",-78.65472220,35.78750000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0208732534"
"0208732885","MARSH CREEK NEAR NEW HOPE, NC","ST","USGS",-78.59305560,35.81694444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0208732885"
"02087337","WALNUT CREEK AT BUCK JONES ROAD AT RALEIGH, NC","ST","USGS",-78.73695280,35.77295000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02087337"
"0208734210","WALNUT CREEK AT TRAILWOOD DRIVE AT RALEIGH, NC","ST","USGS",-78.69100000,35.76838889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0208734210"
"0208734795","WALNUT CREEK AT SOUTH WILMINGTON ST AT RALEIGH, NC","ST","USGS",-78.64061110,35.75688889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0208734795"
"0208735012","ROCKY BRANCH BELOW PULLEN ROAD AT RALEIGH, NC","ST","USGS",-78.66638889,35.78000000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0208735012"
"0208735460","WALNUT CREEK AT SOUTH STATE STREET AT RALEIGH, NC","ST","USGS",-78.62383330,35.75788889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0208735460"
"02087358","WALNUT CREEK AT ROSE LANE AT RALEIGH, NC","ST","USGS",-78.60008060,35.76025000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02087358"
"02087359","WALNUT CREEK AT SUNNYBROOK DRIVE NR RALEIGH, NC","ST","USGS",-78.58305560,35.75833330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02087359"
"02087580","SWIFT CREEK NEAR APEX, NC","ST","USGS",-78.75222220,35.71888889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02087580"
"0208758850","SWIFT CREEK NEAR MCCULLARS CROSSROADS, NC","ST","USGS",-78.69222220,35.69361110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0208758850"
"0208773375","SWIFT CREEK AT SR1555 NEAR CLAYTON, NC","ST","USGS",-78.49861110,35.57500000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0208773375"
"02088383","LITTLE RIVER NEAR ZEBULON, NC","ST","USGS",-78.35222220,35.82194444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02088383"
