SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"09379200","CHINLE CREEK NEAR MEXICAN WATER, AZ","ST","USGS",-109.71066840,36.94389100,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09379200"
"09380000","COLORADO RIVER AT LEES FERRY, AZ","ST","USGS",-111.58787220,36.86433330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09380000"
"09382000","PARIA RIVER AT LEES FERRY, AZ","ST","USGS",-111.59460520,36.87220977,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09382000"
"09383400","LITTLE COLORADO RIVER AT GREER, AZ","ST","USGS",-109.45731250,34.01671430,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09383400"
"09383409","SOUTH FORK LITTLE COLORADO RIVER NEAR GREER, AZ","ST","USGS",-109.40116670,34.05550000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09383409"
"09384000","LITTLE COLORADO R ABV LYMAN LAKE NR ST. JOHNS, AZ","ST","USGS",-109.36231500,34.31448635,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09384000"
"09385700","LITTLE COLORADO RIVER BELOW SALADO SPRINGS, AZ","ST","USGS",-109.36231990,34.45059350,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09385700"
"09386030","LITTLE COLORADO RVR ABV ZION RES. NR ST. JOHNS, AZ","ST","USGS",-109.40704670,34.58364560,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09386030"
"09386300","LITTLE COLORADO RVR BLW ZION RES. NR ST JOHNS, AZ","ST","USGS",-109.48927350,34.60475440,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09386300"
"09390500","SHOW LOW CREEK NEAR LAKESIDE, AZ","ST","USGS",-109.98788580,34.17948755,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09390500"
"09394500","LITTLE COLORADO RIVER AT WOODRUFF, AZ","ST","USGS",-110.04428370,34.78280760,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09394500"
"09397000","LITTLE COLORADO RIVER AT HOLBROOK, AZ","ST","USGS",-110.16317680,34.89780390,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09397000"
"09397500","CHEVELON FORK BELOW WILDCAT CANYON, NR WINSLOW, AZ","ST","USGS",-110.71429570,34.63641960,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09397500"
"09399400","JACKS CANYON CREEK NEAR WINSLOW, AZ","ST","USGS",-110.79763570,34.92141094,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09399400"
"09400350","LITTLE COLORADO RIVER NEAR WINSLOW, AZ","ST","USGS",-110.65124440,35.01168800,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09400350"
"09400568","POLACCA WASH NEAR SECOND MESA, AZ","ST","USGS",-110.56300000,35.65480556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09400568"
"09400815","NEWMAN CANYON ABOVE UPPER LAKE MARY, AZ","ST","USGS",-111.48922220,35.05494444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09400815"
"09401260","MOENKOPI WASH AT MOENKOPI, AZ","ST","USGS",-111.20180690,36.10499334,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09401260"
"09401265","PASTURE CANYON SPRINGS NEAR TUBA CITY, AZ","ST","USGS",-111.20144440,36.17158330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09401265"
"09402000","LITTLE COLORADO RIVER NEAR CAMERON, AZ","ST","USGS",-111.56736820,35.92638190,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09402000"
