SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"03274650","WHITEWATER RIVER NEAR ECONOMY, IN","ST","USGS",-85.11552010,40.00421314,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03274650"
"03275000","WHITEWATER RIVER NEAR ALPINE, IN","ST","USGS",-85.15588889,39.57433330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03275000"
"03275600","EAST FORK WHITEWATER RIVER AT ABINGTON, IN","ST","USGS",-84.95968370,39.73254770,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03275600"
"03276500","WHITEWATER RIVER AT BROOKVILLE, IN","ST","USGS",-85.01288889,39.40747220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03276500"
"03291780","INDIAN-KENTUCK CREEK NEAR CANAAN, IN","ST","USGS",-85.25717880,38.87811360,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03291780"
"03294000","SILVER CREEK NEAR SELLERSBURG, IN","ST","USGS",-85.72635210,38.37062260,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03294000"
"03302220","BUCK CREEK NEAR NEW MIDDLETOWN, IN","ST","USGS",-86.08802440,38.12034748,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03302220"
"03302680","WEST FORK BLUE RIVER AT SALEM, IN","ST","USGS",-86.09442220,38.60533536,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03302680"
"03302800","BLUE RIVER AT FREDERICKSBURG, IN","ST","USGS",-86.19164460,38.43394965,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03302800"
"03303000","BLUE RIVER NEAR WHITE CLOUD, IN","ST","USGS",-86.22830780,38.23756614,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03303000"
"03303280","OHIO RIVER AT CANNELTON DAM AT CANNELTON, IN","ST","USGS",-86.70554179,37.89950088,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03303280"
"03303300","MIDDLE FORK ANDERSON RIVER AT BRISTOW, IN","ST","USGS",-86.72109940,38.13894629,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03303300"
"03322900","WABASH RIVER AT LINN GROVE, IN","ST","USGS",-85.03088889,40.64388889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03322900"
"03323000","WABASH RIVER AT BLUFFTON, IN","ST","USGS",-85.17144440,40.74236110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03323000"
"03324000","LITTLE RIVER NEAR HUNTINGTON, IN","ST","USGS",-85.41316670,40.89855556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03324000"
"03324300","SALAMONIE RIVER NEAR WARREN, IN","ST","USGS",-85.45358470,40.71254489,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03324300"
"03325000","WABASH RIVER AT WABASH, IN","ST","USGS",-85.82026320,40.79087650,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03325000"
"03325519","MISSISSINEWA RIVER AT RIDGEVILLE, IN","ST","USGS",-85.02847220,40.28305556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03325519"
"03326500","MISSISSINEWA RIVER AT MARION, IN","ST","USGS",-85.65952780,40.57641667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03326500"
"03327500","WABASH RIVER AT PERU, IN","ST","USGS",-86.06666670,40.75000000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03327500"
"03328000","EEL RIVER AT NORTH MANCHESTER, IN","ST","USGS",-85.78258330,40.99455556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03328000"
"03328500","EEL RIVER NEAR LOGANSPORT, IN","ST","USGS",-86.26388570,40.78198455,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03328500"
"03329000","WABASH RIVER AT LOGANSPORT, IN","ST","USGS",-86.37749979,40.74642866,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03329000"
"03329700","DEER CREEK NEAR DELPHI, IN","ST","USGS",-86.62139280,40.59031489,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03329700"
"03330241","TIPPECANOE RIVER AT NORTH WEBSTER, IN","ST","USGS",-85.69222220,41.31638889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03330241"
"03330500","TIPPECANOE RIVER AT OSWEGO, IN","ST","USGS",-85.78915649,41.32060147,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03330500"
"03331224","SHATTO DITCH NEAR MENTONE, IN","ST-DCH","USGS",-86.04569440,41.22163889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03331224"
"03331500","TIPPECANOE RIVER NEAR ORA, IN","ST","USGS",-86.56362090,41.15726364,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03331500"
"03331753","TIPPECANOE RIVER AT WINAMAC, IN","ST","USGS",-86.59917580,41.04976320,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03331753"
"03332345","TIPPECANOE RIVER AT BUFFALO, IN","ST","USGS",-86.75119440,40.87786110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03332345"
"03332349","BIG MONON DITCH AT CR200N NEAR MEDARYVILLE, IN","ST","USGS",-86.78600000,41.08513889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03332349"
"03332555","TIPPECANOE RIVER AT NORWAY, IN","ST","USGS",-86.75888889,40.77863889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03332555"
"03332605","TIPPECANOE RIVER BELOW OAKDALE DAM, IN","ST","USGS",-86.75667690,40.65337120,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03332605"
"03333050","TIPPECANOE RIVER NEAR DELPHI, IN","ST","USGS",-86.77033330,40.59391667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03333050"
"03333450","WILDCAT CREEK NEAR JEROME, IN","ST","USGS",-85.91875000,40.44127778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03333450"
"03333700","WILDCAT CREEK AT KOKOMO, IN","ST","USGS",-86.15291670,40.47088889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03333700"
"03334000","WILDCAT CREEK AT OWASCO, IN","ST","USGS",-86.63655560,40.46483330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03334000"
"03334500","SOUTH FORK WILDCAT CREEK NEAR LAFAYETTE, IN","ST","USGS",-86.76806270,40.41781360,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03334500"
"03335000","WILDCAT CREEK NEAR LAFAYETTE, IN","ST","USGS",-86.82917520,40.44059108,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03335000"
"03335500","WABASH RIVER AT LAFAYETTE, IN","ST","USGS",-86.89694440,40.42194444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03335500"
"033356848","BIG PINE CREEK AT PINE VILLAGE, IN","ST","USGS",-87.25444440,40.45233330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=033356848"
"03335960","REDWOOD CREEK NEAR MARSHFIELD, IN","ST","USGS",-87.44333330,40.27975000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03335960"
"03336000","WABASH RIVER AT COVINGTON, IN","ST","USGS",-87.40668050,40.14003770,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03336000"
"03339280","PRAIRIE CREEK NEAR LEBANON, IN","ST","USGS",-86.52278030,40.10448460,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03339280"
"03339305","SUGAR CREEK NEAR THORNTOWN, IN","ST","USGS",-86.69580560,40.14338889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03339305"
"03339500","SUGAR CREEK AT CRAWFORDSVILLE, IN","ST","USGS",-86.89945180,40.04893127,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03339500"
"03340500","WABASH RIVER AT MONTEZUMA, IN","ST","USGS",-87.37390530,39.79253835,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03340500"
"03340800","BIG RACCOON CREEK NEAR FINCASTLE, IN","ST","USGS",-86.95389880,39.81254460,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03340800"
"03341300","BIG RACCOON CREEK AT COXVILLE, IN","ST","USGS",-87.29362770,39.65253870,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03341300"
