SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"06614800","MICHIGAN RIVER NEAR CAMERON PASS, CO","ST","USGS",-105.86501190,40.49609409,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06614800"
"06620000","NORTH PLATTE RIVER NEAR NORTHGATE, CO","ST","USGS",-106.33919440,40.93663889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06620000"
"06696980","TARRYALL CREEK AT UPPER STATION NEAR COMO, CO","ST","USGS",-105.91168130,39.33943296,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06696980"
"06700000","SOUTH PLATTE RIVER ABOVE CHEESMAN LAKE, CO.","ST","USGS",-105.31027320,39.16276858,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06700000"
"06701620","TROUT CREEK BLW FERN CR NR WESTCREEK, CO.","ST","USGS",-105.12221120,39.16749104,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06701620"
"06701700","WEST CR. ABV SHREWSBURY GULCH NR WESTCREEK CO","ST","USGS",-105.16001110,39.14542500,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06701700"
"06701900","SOUTH PLATTE RIVER BLW BRUSH CRK NEAR TRUMBULL, CO","ST","USGS",-105.22193790,39.25999025,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06701900"
"06708600","WEST PLUM CREEK NEAR PERRY PARK, CO","ST","USGS",-104.95190280,39.25947220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06708600"
"06708690","WEST PLUM CREEK AT SEDALIA, CO","ST","USGS",-104.96777780,39.42927778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06708690"
"06708800","EAST PLUM CR ABV HASKINS GULCH NR CASTLE ROCK, CO","ST","USGS",-104.90461110,39.42300000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06708800"
"06709000","PLUM CREEK NEAR SEDALIA, CO.","ST","USGS",-104.98303870,39.43832246,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06709000"
"06709530","PLUM CREEK AT TITAN ROAD NEAR LOUVIERS, CO","ST","USGS",-105.02446670,39.50736944,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06709530"
"06709740","LEE GULCH AT LITTLETON, CO","ST","USGS",-105.01602780,39.59611110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06709740"
"06709910","DUTCH CR AT PLATTE CANYON DRIVE NEAR LITTLETON, CO","ST","USGS",-105.04192220,39.60011110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06709910"
"06710150","BIG DRY CREEK BELOW C-470 AT HIGHLANDS RANCH, CO","ST","USGS",-104.92775800,39.56332160,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06710150"
"06710247","SOUTH PLATTE RIVER BELOW UNION AVE, AT ENGLEWOOD,C","ST","USGS",-105.01498300,39.63248760,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06710247"
"06710385","BEAR CREEK ABOVE EVERGREEN, CO","ST","USGS",-105.33694440,39.63316667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06710385"
"06710605","BEAR CREEK ABOVE BEAR CREEK LAKE NEAR MORRISON, CO","ST","USGS",-105.17325000,39.65202778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06710605"
"06711515","LITTLE DRY CREEK NR ARAPAHOE RD AT CENTENNIAL, CO","ST","USGS",-104.90650000,39.59373610,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06711515"
"06711555","LITTLE DRY CREEK ABOVE ENGLEWOOD, CO","ST","USGS",-104.97887050,39.64915420,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06711555"
"06711565","SOUTH PLATTE RIVER AT ENGLEWOOD, CO.","ST","USGS",-105.00414900,39.66498738,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06711565"
"06711570","HARVARD GULCH AT COLORADO BLVD. AT DENVER, CO","ST","USGS",-104.94250830,39.66920278,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06711570"
"06711575","HARVARD GULCH AT HARVARD PARK AT DENVER, CO","ST","USGS",-104.97702780,39.67172220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06711575"
"06711618","WEIR GULCH UPSTREAM FROM 1ST AVE. AT DENVER, CO","ST","USGS",-105.04201110,39.71724720,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06711618"
"06711770","DRY GULCH AT DENVER, CO","ST","USGS",-105.03955560,39.73437500,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06711770"
"06711780","LAKEWOOD GULCH AT DENVER, CO","ST","USGS",-105.03136110,39.73519444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06711780"
"06712000","CHERRY CREEK NEAR FRANKTOWN, CO.","ST","USGS",-104.76330920,39.35582340,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06712000"
"06713000","CHERRY CREEK BELOW CHERRY CREEK LAKE, CO","ST","USGS",-104.86303260,39.65359899,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06713000"
"06713500","CHERRY CREEK AT DENVER, CO.","ST","USGS",-104.99998170,39.74248685,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06713500"
"06714215","SOUTH PLATTE R AT 64TH AVE. COMMERCE CITY, CO.","ST","USGS",-104.95831290,39.81220846,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06714215"
"06714360","SAND CRK ABV BURLINGTON DITCH NR COMMERCE CITY, CO","ST","USGS",-104.95033330,39.81025000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06714360"
"06714400","S CLEAR CR ABV LOWER CABIN CR RES NR GEORGETOWN,CO","ST","USGS",-105.70748330,39.64900556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06714400"
"06714500","S CLEAR CR ABV LWR CABIN CR RES SPILWY NR GEORGTWN","ST","USGS",-105.70632780,39.66310000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06714500"
"06714800","LEAVENWORTH CREEK AT MOUTH NEAR GEORGETOWN, CO","ST","USGS",-105.70028210,39.68720955,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06714800"
"06715000","CLEAR CREEK ABV WEST FORK CLEAR CREEK NR EMPIRE CO","ST","USGS",-105.66194700,39.75193190,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06715000"
"06716100","WEST FORK CLEAR CREEK ABV MOUTH NR EMPIRE, CO","ST","USGS",-105.66000250,39.75887636,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06716100"
"06716500","CLEAR CREEK NEAR LAWSON, CO","ST","USGS",-105.62611230,39.76582090,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06716500"
"06718550","NORTH CLEAR CREEK ABOVE MOUTH NR BLACK HAWK, CO","ST","USGS",-105.39971590,39.74887674,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06718550"
"06719505","CLEAR CREEK AT GOLDEN, CO","ST","USGS",-105.23526670,39.75304299,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06719505"
"06719560","LENA GULCH AT LAKEWOOD, CO","ST","USGS",-105.14883330,39.74040278,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06719560"
"06719840","LITTLE DRY CREEK AT WESTMINSTER, CO","ST","USGS",-105.04006390,39.82655278,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06719840"
"06720460","FIRST CR BEL BUCKLEY RD, AT ROCKY MTN ARSENAL, CO","ST","USGS",-104.79386180,39.80804210,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06720460"
"06720820","BIG DRY CREEK AT WESTMINSTER, CO","ST","USGS",-105.03538890,39.90568056,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06720820"
"06720990","BIG DRY CREEK AT MOUTH NEAR FORT LUPTON, CO","ST","USGS",-104.83198610,40.06883330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06720990"
