SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"07148400","Salt Fork Arkansas River nr Alva, OK","ST","USGS",-98.64813950,36.81503056,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07148400"
"07149000","MEDICINE LODGE R NR KIOWA, KS","ST","USGS",-98.47015560,37.03890556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07149000"
"07149520","Salt Fork Arkansas River at SH 11 nr Cherokee, OK","ST","USGS",-98.24722220,36.80555556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07149520"
"07151000","Salt Fork Arkansas River at Tonkawa, OK","ST","USGS",-97.30948870,36.67197920,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07151000"
"07151500","CHIKASKIA R NR CORBIN, KS","ST","USGS",-97.60156940,37.12868889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07151500"
"07152000","Chikaskia River near Blackwell, OK","ST","USGS",-97.27726500,36.81142110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07152000"
"07152500","Arkansas River at Ralston, OK","ST","USGS",-96.72836720,36.50421677,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07152500"
"07153000","Black Bear Creek at Pawnee, OK","ST","USGS",-96.79947880,36.34366537,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07153000"
"07154500","Cimarron River near Kenton, OK","ST","USGS",-102.95909540,36.92668707,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07154500"
"07155590","CIMARRON R NR ELKHART, KS","ST","USGS",-101.89794560,37.12196746,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07155590"
"07156900","Cimarron River near Forgan, OK","ST","USGS",-100.49181710,37.01113720,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07156900"
"07157500","CROOKED C NR ENGLEWOOD, KS","ST","USGS",-100.21125310,37.03252800,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07157500"
"07157950","Cimarron River near Buffalo, OK","ST","USGS",-99.31538700,36.85197484,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07157950"
"07158000","Cimarron River near Waynoka, OK","ST","USGS",-98.87953660,36.51725644,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07158000"
"07159100","Cimarron River near Dover, OK","ST","USGS",-97.91449940,35.95170756,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07159100"
"07160000","Cimarron River near Guthrie, OK","ST","USGS",-97.42587460,35.92060230,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07160000"
"07160350","Skeleton Creek at Enid, OK","ST","USGS",-97.80033320,36.37614490,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07160350"
"07160500","Skeleton Creek near Lovell, OK","ST","USGS",-97.58504710,36.06004045,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07160500"
"07161450","Cimarron River near Ripley, OK","ST","USGS",-96.91225040,35.98589270,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07161450"
"07164500","Arkansas River at Tulsa, OK","ST","USGS",-96.00638660,36.14064807,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07164500"
"07164600","Joe Creek at 61st St at Tulsa, OK","ST","USGS",-95.96055010,36.07565044,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07164600"
"07165562","Haikey Creek at 101st St South at Tulsa, OK","ST","USGS",-95.84887770,36.01704297,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07165562"
"07165565","Little Haikey Creek at 101st St South at Tulsa, OK","ST","USGS",-95.86082270,36.01759824,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07165565"
"07165570","Arkansas River near Haskell, OK","ST","USGS",-95.63777780,35.82277778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07165570"
"07170500","VERDIGRIS R AT INDEPENDENCE, KS","ST","USGS",-95.67775730,37.22368014,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07170500"
"07171000","Verdigris River near Lenapah, OK","ST","USGS",-95.58608820,36.85119615,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07171000"
"07174400","Caney River above Coon Creek at Bartlesville, OK","ST","USGS",-95.97220640,36.75564425,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07174400"
"07175500","Caney River near Ramona, OK","ST","USGS",-95.84193060,36.50898160,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07175500"
"07176000","Verdigris River near Claremore, OK","ST","USGS",-95.69972220,36.30750000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07176000"
"07176500","Bird Creek at Avant, OK","ST","USGS",-96.06027430,36.48508798,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07176500"
"07177500","Bird Creek near Sperry, OK","ST","USGS",-95.95416200,36.27842534,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07177500"
"07177650","Flat Rock Creek at Cincinnati Ave at Tulsa, OK","ST","USGS",-95.99527590,36.21536936,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07177650"
"07177800","Coal Creek at Tulsa, OK","ST","USGS",-95.91415990,36.19453840,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07177800"
"07178000","Bird Creek near Owasso, OK","ST","USGS",-95.86721300,36.24870534,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07178000"
"07178200","Bird Ck at State Highway 266 near Catoosa, OK","ST","USGS",-95.81943220,36.22315140,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07178200"
"07183500","NEOSHO R NR PARSONS, KS","ST","USGS",-95.10996870,37.34005866,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07183500"
"07185000","Neosho River near Commerce, OK","ST","USGS",-94.95745740,36.92868144,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07185000"
"07185030","Elm Creek near Commerce, OK","ST","USGS",-94.91833330,36.92166667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07185030"
"07185090","Tar Creek near Commerce, OK","ST","USGS",-94.85328620,36.94367956,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07185090"
"07185095","Tar Creek at 22nd Street Bridge at Miami, OK","ST","USGS",-94.86828780,36.90006955,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07185095"
"07188000","Spring River near Quapaw, OK","ST","USGS",-94.74717110,36.93451148,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07188000"
"07188005","Beaver Creek near Quapaw, OK","ST","USGS",-94.75388890,36.93388889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07188005"
"07189000","Elk River near Tiff City, Mo","ST","USGS",-94.58688860,36.63146127,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07189000"
"07189540","Cave Springs Branch near South West City, MO","ST","USGS",-94.61800040,36.54729700,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07189540"
"07189542","Honey Creek near South West City, MO","ST","USGS",-94.68361110,36.54888889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07189542"
"07189700","Horse Creek at Afton, OK","ST","USGS",-94.94539440,36.69319720,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07189700"
"07189710","Horse Creek at 540 Rd near Afton, OK","ST","USGS",-94.90921390,36.67774167,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07189710"
"07190500","Neosho River near Langley, OK","ST","USGS",-95.04857300,36.43897420,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07190500"
"07191000","Big Cabin Creek near Big Cabin, OK","ST","USGS",-95.15218910,36.56841789,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07191000"
"07191160","Spavinaw Creek near Maysville, AR","ST","USGS",-94.55132990,36.36452259,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07191160"
"07191179","Spavinaw Creek near Cherokee City, AR","ST","USGS",-94.58772000,36.34202350,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07191179"
"07191220","Spavinaw Creek near Sycamore, OK","ST","USGS",-94.64138890,36.33472220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07191220"
"071912213","Spavinaw Creek near Colcord, OK","ST","USGS",-94.68522380,36.32258080,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=071912213"
"07191222","Beaty Creek near Jay, OK","ST","USGS",-94.77633880,36.35535924,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07191222"
"07191288","Spavinaw Creek near Eucha, OK","ST","USGS",-94.93690100,36.37925097,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07191288"
"07191500","Neosho River near Chouteau, OK","ST","USGS",-95.18274100,36.22953790,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07191500"
"07194500","Arkansas River near Muskogee, OK","ST","USGS",-95.29718670,35.76954320,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07194500"
"07195430","Illinois River South of Siloam Springs, AR","ST","USGS",-94.53333330,36.10861110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07195430"
"07195500","Illinois River near Watts, OK","ST","USGS",-94.57216450,36.13008185,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07195500"
"07195800","Flint Creek at Springtown, AR","ST","USGS",-94.43361110,36.25611110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07195800"
"07195855","Flint Creek near West Siloam Springs, OK","ST","USGS",-94.60527780,36.21611110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07195855"
"07195865","Sager Creek near West Siloam Springs, OK","ST","USGS",-94.60522070,36.20174844,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07195865"
"07196000","Flint Creek near Kansas, OK","ST","USGS",-94.70689130,36.18647245,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07196000"
"07196090","Illinois River at Chewey, OK","ST","USGS",-94.78272830,36.10425270,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07196090"
"07196500","Illinois River near Tahlequah, OK","ST","USGS",-94.92170280,35.92554720,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07196500"
"07196900","Baron Fork at Dutch Mills, AR","ST","USGS",-94.48638890,35.88000000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07196900"
"07197000","Baron Fork at Eldon, OK","ST","USGS",-94.83724720,35.92162220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07197000"
"07197360","Caney Creek near Barber, OK","ST","USGS",-94.85633980,35.78509060,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07197360"
"07198000","Illinois River near Gore, OK","ST","USGS",-95.06884580,35.57315110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07198000"
"07228000","Canadian Rv nr Canadian, TX","ST","USGS",-100.37068840,35.93504200,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07228000"
